dataset,project,model,n_runs,mean_auc,std_auc,mean_mcc,std_mcc,mean_f1_score,std_f1_score,mean_g_mean,std_g_mean,mean_accuracy,std_accuracy,rank_by_auc,rank_by_mcc
AEEEM,equinox,DecisionTree,15,0.6436062801932366,0.06735547460594636,0.263454182799348,0.15298841352141168,0.6298304703978092,0.08426563943053658,0.6281825571299604,0.0783513384429359,0.6306122448979592,0.0764771436153791,5.0,5.0
AEEEM,equinox,Dummy,15,0.4713599033816425,0.06452955783692135,-0.058132829635223954,0.13088840980864663,0.523922664803168,0.05863151631882544,0.4631914541163426,0.0663649137978743,0.474546485260771,0.06460544108536279,6.0,6.0
AEEEM,equinox,GaussianNB,15,0.7648454106280194,0.08276782472636263,0.35762709682697846,0.12457831529679392,0.49980255515859234,0.0925100221818491,0.5745779443174612,0.07344166013674701,0.6361961451247166,0.05621868926228561,2.0,3.0
AEEEM,equinox,KNN,15,0.7233671497584542,0.06982917226365219,0.3409420192259833,0.15291035373813233,0.660808351379938,0.09581355727165795,0.6645518245554736,0.07909852477724681,0.667828798185941,0.0779318901713114,4.0,4.0
AEEEM,equinox,LogisticRegression,15,0.7808285024154589,0.0875917991533625,0.4444352058584205,0.13925772504769018,0.6975309043817961,0.07805437464606332,0.7133266797647677,0.07177016899003189,0.7161848072562358,0.07043957942488391,1.0,1.0
AEEEM,equinox,RandomForest,15,0.7499661835748792,0.0697952632666942,0.41129828929765144,0.11347917308571269,0.7027785475385406,0.05956475590691359,0.7027014302244179,0.057357930161026416,0.7038832199546484,0.0568007085568809,3.0,2.0
AEEEM,jdt,DecisionTree,15,0.6670535028497725,0.03204559064957497,0.2998426923020736,0.06169321862493609,0.4571169515714687,0.046103227199762495,0.6363343101571093,0.037786308623779616,0.7503339501277646,0.031314229183662994,5.0,5.0
AEEEM,jdt,Dummy,15,0.48913677321137866,0.024399437277759888,-0.021925020138785487,0.04924494778057216,0.19094650205761315,0.039003265822860386,0.3841487450507658,0.04320330362346316,0.6628936470173584,0.01623585621585473,6.0,6.0
AEEEM,jdt,GaussianNB,15,0.766829944591781,0.037958662212668255,0.46216172022764873,0.07534202155424542,0.5123724615352601,0.08501332391821258,0.6148484530255166,0.07250694154377585,0.8436144153669927,0.016564473475329255,4.0,4.0
AEEEM,jdt,KNN,15,0.7973187501164546,0.04158595671857819,0.47018204647425105,0.06712080109506,0.5275146691475455,0.07786059863867746,0.631450372486326,0.0699666177243135,0.8439686315974976,0.014972447420505438,3.0,2.0
AEEEM,jdt,LogisticRegression,15,0.8369813458766112,0.035541157540379203,0.505465745676471,0.06324851849729662,0.6125365644499703,0.04940627582342754,0.7520824515532596,0.03985777576976262,0.8264604810996564,0.02656031547084425,1.0,1.0
AEEEM,jdt,RandomForest,15,0.8315337221363047,0.03473771421866054,0.4667397651130362,0.04489809069531022,0.5508048551734599,0.03903799341533787,0.6657961628539871,0.038257312719034375,0.8364137809498634,0.015276846745132246,2.0,3.0
AEEEM,lucene,DecisionTree,15,0.6242367437022042,0.05768947363380111,0.23070685593096393,0.09824787568996061,0.3183341833835411,0.09025787890466427,0.545273972315045,0.09905936095582248,0.8305238260066921,0.034834324029427696,5.0,5.0
AEEEM,lucene,Dummy,15,0.4848917566351777,0.039518229034923254,-0.030835590010309014,0.0807263253736044,0.08666666666666667,0.07170264877443401,0.2214044576778686,0.1684075021026845,0.7916176300911503,0.016375125462921622,6.0,6.0
AEEEM,lucene,GaussianNB,15,0.7758763026690658,0.0928159093512955,0.33183348583742156,0.13636930143518797,0.399133376806698,0.12358550736319127,0.5856950712952294,0.11182570516607673,0.8682992961809162,0.030055154508865596,3.0,2.0
AEEEM,lucene,KNN,15,0.673497619583146,0.07298675965017269,0.2982938934280918,0.2044634699997951,0.2816806722689076,0.18225434701917767,0.37847175212931705,0.2171793281291994,0.895488635052498,0.016590146849234336,4.0,3.0
AEEEM,lucene,LogisticRegression,15,0.7794451473234367,0.05712968634534792,0.2641455146224634,0.09127681781153961,0.35800050595240246,0.071592865146348,0.6483306976600868,0.08466886185881077,0.781764162916811,0.032407056126448355,2.0,4.0
AEEEM,lucene,RandomForest,15,0.7971467095891438,0.07948084804204235,0.33201733516747095,0.12667470532883987,0.36998164441561937,0.11286211668276361,0.5257033135332391,0.0925020718828377,0.8837429329641168,0.022087824675036918,1.0,1.0
AEEEM,mylyn,DecisionTree,15,0.8311778379213095,0.03474521658262185,0.5977464321737359,0.050018237532810546,0.6513624815170903,0.04342885763921866,0.8099102858719369,0.0381480294694052,0.9014731397096288,0.01156125875702597,5.0,5.0
AEEEM,mylyn,Dummy,15,0.5015958354668032,0.03149465249792724,0.003129305761602082,0.06176253508504871,0.13643410852713178,0.0533702774513442,0.3396076718037868,0.0782133754863052,0.7689157201550537,0.014481496197161818,6.0,6.0
AEEEM,mylyn,GaussianNB,15,0.8818924487357668,0.025063102251984746,0.7343047580217327,0.042364551002198,0.7566374914277157,0.04009840560408102,0.8124750609459769,0.03299927617718193,0.9437833375257187,0.008542541434684362,3.0,1.0
AEEEM,mylyn,KNN,15,0.8564203728086216,0.04046349878400832,0.7176285238411482,0.035647307777209127,0.726504443905988,0.04163035082912054,0.7715774358842078,0.039514007814162345,0.9412975755113098,0.006541391477805339,4.0,2.0
AEEEM,mylyn,LogisticRegression,15,0.9421009700176366,0.0151299480107305,0.6481239297893668,0.07021500567638826,0.6941564445244933,0.060515036542507956,0.8373055704280421,0.0369188057660686,0.9128738479002599,0.021696897029839943,1.0,4.0
AEEEM,mylyn,RandomForest,15,0.9107886422191337,0.027929029402335454,0.7174355578242804,0.053486976104989974,0.7338433380921414,0.04952336254229852,0.784627570108753,0.03626419340515008,0.9410847313325981,0.010383941512874535,2.0,3.0
AEEEM,pde,DecisionTree,15,0.6656797585468566,0.032136603910872745,0.29251876752626155,0.06689772659277037,0.4041727649111842,0.054047383720788746,0.624544579807835,0.04192242287916817,0.8042745872014164,0.02647310672973225,5.0,5.0
AEEEM,pde,Dummy,15,0.479820806371329,0.025408868059060005,-0.03875943260339332,0.04889041547008629,0.11992337164750957,0.041498181880772325,0.3194871453067757,0.05853912722851253,0.7305872988799818,0.012524353741332992,6.0,6.0
AEEEM,pde,GaussianNB,15,0.7619354176049049,0.050244493535417545,0.42257804611902977,0.05975796365865568,0.47456639447332155,0.05814418697488613,0.6112166242652382,0.05546364223392268,0.8742533888875352,0.011275286658989437,3.0,2.0
AEEEM,pde,KNN,15,0.6888101163810472,0.052282718911475096,0.4226407606713061,0.061699466512543946,0.44079770352002107,0.05919462564486619,0.5594361853760078,0.045988105016199946,0.8814535058437497,0.010680392173537934,4.0,1.0
AEEEM,pde,LogisticRegression,15,0.7755881864941099,0.04245402975026992,0.36970487690641085,0.06152977397580743,0.469105619532181,0.04997167637647372,0.6891912068196527,0.04731297674380954,0.8177700348432055,0.02153348967293144,2.0,4.0
AEEEM,pde,RandomForest,15,0.7892669495208071,0.03440298776238901,0.41407520739726744,0.06003862545707853,0.4318565634106207,0.055432658792282666,0.5533249359245933,0.0447530539215267,0.8795935771545528,0.010828882627721735,1.0,3.0
ApacheJIT,dataset_apachejit_total,DecisionTree,15,0.7291556316858628,0.0034112797620411365,0.41389883199632055,0.006540075646940987,0.5788211864061807,0.004569737478742226,0.7093442982074816,0.003583471622444912,0.7599085689238779,0.00306164153335546,4.0,4.0
ApacheJIT,dataset_apachejit_total,Dummy,15,0.5006004628479657,0.002270833146581525,0.0012031325128179715,0.0045500055267987715,0.2657263063304974,0.0033444858207667912,0.44167061618146136,0.003140160839613275,0.6110640546508334,0.00177223094887549,6.0,5.0
ApacheJIT,dataset_apachejit_total,GaussianNB,15,0.6283748440280602,0.004198677728911156,0.0,0.0,0.0,0.0,0.0,0.0,0.7343985246653282,1.6383937096402665e-05,5.0,6.0
ApacheJIT,dataset_apachejit_total,KNN,15,0.8001566956938898,0.003442907115210118,0.46882551689189117,0.007129800402864712,0.5875423652508354,0.006050681246827439,0.6885406617698524,0.004981657351291566,0.805172891713407,0.0024553058408175676,3.0,2.0
ApacheJIT,dataset_apachejit_total,LogisticRegression,15,0.80764147513892,0.0032607841357206882,0.4387088424390903,0.006815670605371139,0.5999748857204449,0.00495960352343985,0.7304327627533944,0.004267097707985827,0.7626185648286529,0.002450026206909628,2.0,3.0
