dataset,n_projects,n_instances,n_features,minority_class_percentage,nn_same_class_ratio,minority_nn_same_class_ratio,majority_nn_same_class_ratio,nn_opposite_class_ratio,borderline_instance_rate,minority_borderline_rate,class_centroid_distance,intra_class_distance_mean,inter_class_distance_mean,distance_separation_ratio,mean_feature_overlap,high_overlap_feature_rate,mean_mutual_information,zero_mi_feature_rate,pca_components_95,pca_components_95_ratio,complexity_score
AEEEM,5,958.6,19.0,0.21710814291916977,0.8138204023195714,0.48329440340152574,0.8718902552457092,0.2041413134504524,0.15805165165304813,0.5808188137341339,0.2781997289360979,0.5028498816050282,0.7570019722110545,1.505608395674211,0.43589074223831903,0.23157894736842105,0.037715001739491515,0.11578947368421053,8.2,0.43157894736842106,66.02799999999999
ApacheJIT,1,106272.0,15.0,0.26560147545919904,0.7628067600120446,0.5400694395238432,0.8433616072572585,0.24550210779885576,0.19419037940379405,0.4793098561609863,0.2870899258930295,0.5300652492820253,0.7878407778679899,1.486309051451915,0.894743574522133,0.8,0.042865687762313684,0.0,6.0,0.4,60.83
BugHunter,15,3776.733333333333,6.0,0.41349723731306826,0.3769891602723584,0.25990110622957885,0.43009329852500233,0.4694811335821123,0.4663900329413447,0.6640715199967484,0.05784099924161625,0.25613914076421973,0.35617633814199035,1.3996635039451826,0.7755109667545224,0.7444444444444444,0.004651767000016324,0.7222222222222222,3.066666666666667,0.5111111111111111,40.71933333333333
JIRA,7,2118.4285714285716,67.0,0.10639226780061396,0.8799800230243287,0.35979073516657095,0.9324351084604015,0.12862034597786212,0.09694826494747576,0.7332570929845109,0.6447834374222655,0.9132389602308996,1.4419288469294613,1.574719609290133,0.5478056012076495,0.24093816631130063,0.026041376899113622,0.06609808102345416,16.857142857142858,0.2515991471215352,62.871428571428574
Kamei,3,9835.333333333334,15.0,0.3077165465910238,0.6753608834422847,0.4566610740998147,0.7668031117427315,0.3387244848398107,0.2891780616569744,0.5986320801670414,0.251458750311671,0.806436346164655,1.1436565323445598,1.4190718025088411,0.799446052457239,0.6888888888888888,0.03312688853050655,0.0,6.333333333333333,0.4222222222222222,57.57
NASA,9,706.5555555555555,37.44444444444444,0.15813226998806443,0.8140137568305718,0.32478151288208684,0.885531323269099,0.20077568520740682,0.16154665775782717,0.8051722557607434,0.4838506342107746,0.8574256545442293,1.2945031693134783,1.5081108446982319,0.6334680055918427,0.33001118527434314,0.030313035629651153,0.13728269430023818,10.0,0.2673837805416753,58.36
Promise,7,2386.8571428571427,20.0,0.17261746872645115,0.8178935489740259,0.39378502959683787,0.8732115373555077,0.19359994951525686,0.15354245519407847,0.7421967319665531,0.39408754054934214,0.7950664834815628,1.1758830356792764,1.4780085249367036,0.5628595938102997,0.3142857142857142,0.03268904416192946,0.10714285714285714,8.285714285714286,0.41428571428571426,60.839999999999996
ReLink,3,201.33333333333334,26.0,0.398537369400553,0.6681515549897518,0.6076881197294042,0.7012805122048821,0.36598582994267076,0.31586830084121714,0.4124762533592809,0.5513516566804852,0.6746923063716834,1.0832739068218789,1.5808995000063912,0.6661656719294311,0.4230769230769231,0.0762980999919589,0.16666666666666666,7.0,0.2692307692307692,65.72666666666667
UnifiedBugDataSet_File,1,35829.0,6.0,0.27840576069664236,0.6582098300259567,0.4030075187969925,0.7566720816894871,0.3294928689050769,0.27229339361969357,0.6321804511278195,0.01945153299319205,0.02756177738543533,0.042051951763807556,1.5257343957080713,0.3616274645928972,0.0,0.027408835354327293,0.0,3.0,0.5,66.03
