dataset,n_projects,mean_project_size,project_size_cv,mean_feature_count,feature_count_cv,feature_set_consistency,mean_label_prevalence,label_prevalence_std,label_prevalence_range,mean_pairwise_ks,mean_pairwise_wasserstein,mean_pairwise_feature_mean_shift,mean_pairwise_feature_std_shift,mean_pairwise_stability_score,stability_score,stability_level,warnings
AEEEM,5,958.6,0.539565465054326,19.0,0.0,1.0,0.2245770225872196,0.15053779752237215,0.40178908228700766,0.2263373919639752,0.04168232137587861,0.03799414380082654,0.04572045616342537,80.49199999999999,71.77,moderate,large_label_prevalence_range
ApacheJIT,1,106272.0,0.0,15.0,0.0,1.0,0.26560147545919904,0.0,0.0,,,,,,80.0,moderate,none
BugHunter,15,3776.733333333333,1.6147907347341208,6.0,0.0,1.0,0.414491365601465,0.09165850235138856,0.3564273975795738,0.21609629977764636,0.03938815711500096,0.036593743621011095,0.05633040188526462,82.2541904761905,68.91,limited,unstable_project_sizes;large_label_prevalence_range
JIRA,7,2118.4285714285716,0.3140987010538524,67.0,0.0,1.0,0.10639226780061396,0.0712629378123465,0.22358874090261247,0.16051076138942677,0.02100835479874358,0.01967254702000548,0.026975955223077244,88.73523809523809,83.59,moderate,moderate_label_prevalence_range
Kamei,3,9835.333333333334,0.7618013852025768,15.0,0.0,1.0,0.3077165465910238,0.047606723167019596,0.11654893325883486,0.33066387367480293,0.12472259156817873,0.12330592202291919,0.08508479018284903,79.79,79.88,moderate,moderate_feature_distribution_shift
NASA,9,706.5555555555555,0.7334492286426392,37.44444444444444,0.025526187736031533,0.9627704627704625,0.15813226998806443,0.09497072258623984,0.33267804485747476,0.2204582538252919,0.04186060245999216,0.03843047328833421,0.03902691339777716,82.22416666666669,73.49,moderate,large_label_prevalence_range
Promise,7,2386.8571428571427,1.8485650354677603,20.0,0.0,1.0,0.38993682890295417,0.329291689736398,0.9723824665001135,0.20446292425041054,0.04991648066691309,0.044735971513779976,0.03279137237211245,75.28571428571429,60.03,limited,unstable_project_sizes;large_label_prevalence_range
ReLink,3,201.33333333333334,0.6048101849775994,26.0,0.0,1.0,0.4019737955173915,0.08078257213391371,0.1972450346554837,0.36579570055238414,0.07574241837231023,0.0724750499872791,0.09537452889085822,76.57333333333334,76.19,moderate,moderate_feature_distribution_shift
UnifiedBugDataSet_File,1,35829.0,0.0,6.0,0.0,1.0,0.27840576069664236,0.0,0.0,,,,,,80.0,moderate,none
