dataset,n_projects,raw_rows,clean_rows,n_features,row_retention_rate,missing_value_rate,duplicate_rate,conflicting_duplicate_rate,constant_feature_rate,near_constant_feature_rate,high_correlation_feature_rate,outlier_instance_rate,outlier_cell_rate,minority_class_percentage,class_imbalance_ratio,label_entropy,quality_score
AEEEM,5,1074.2,958.6,19.0,0.8639494386782832,0.0,0.0,0.010718685586294236,0.06315789473684211,0.21052631578947367,0.29473684210526313,0.3819359045537012,0.11203808189927751,0.21710814291916977,4.977646029721193,0.6841850907007347,78.47200000000001
ApacheJIT,1,106674.0,106272.0,15.0,0.9962315090837505,0.0,0.0,0.0019760614272809397,0.0,0.0,0.4,0.7513644233664559,0.12977077687443542,0.26560147545919904,2.7650393254446257,0.835081979329938,84.7
BugHunter,15,4672.533333333334,3776.733333333333,6.0,0.8822172028444845,0.0,0.0,0.21034314159570852,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.27162686877126163,0.10806290617793993,0.41349723731306826,1.6608611575046155,0.9516466976299996,66.67866666666667
JIRA,7,2242.4285714285716,2118.4285714285716,67.0,0.9570502466164729,0.0,0.0,0.0004706989879971758,0.0042643923240938165,0.04051172707889126,0.41577825159914716,0.56190020210363,0.08649924167733888,0.10639226780061396,11.939944035218483,0.4556013696450294,77.56857142857143
Kamei,3,9835.333333333334,9835.333333333334,15.0,1.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.044444444444444446,0.5450662905739342,0.1001011731471436,0.3077165465910238,2.3295314197662527,0.8828261790411408,89.71333333333332
NASA,9,2511.1111111111113,706.5555555555555,37.44444444444444,0.8097292457233771,0.0,0.0,0.005826724666293631,0.0,0.0,0.5667188781223869,0.4396205024469969,0.08234354275763119,0.15813226998806443,10.189155204125493,0.5809009106573471,77.00666666666666
Promise,7,3848.8571428571427,2386.8571428571427,20.0,0.8567130413855215,0.0,0.0,0.014309386096799385,0.0,0.0071428571428571435,0.1285714285714286,0.46612857824799697,0.07845355097978904,0.17261746872645115,23.969840230390485,0.5804711641949342,81.64857142857143
ReLink,3,216.33333333333334,201.33333333333334,26.0,0.9624060150375939,0.0,0.0,0.003766478342749529,0.0,0.0,0.7564102564102564,0.356242147391894,0.08928137261616205,0.398537369400553,1.604664766935409,0.9524292222772583,82.16666666666667
UnifiedBugDataSet_File,1,43744.0,35829.0,6.0,0.8190608997805413,0.0,0.0,0.05001535069357225,0.16666666666666666,0.16666666666666666,0.0,0.323201875575651,0.12109185296826594,0.27840576069664236,2.5918796992481203,0.8532694430732699,74.78
