dataset,n_projects,n_models,mean_pairwise_spearman_auc,mean_pairwise_kendall_auc,mean_pairwise_spearman_mcc,mean_pairwise_kendall_mcc,model_ranking_stability_score,model_ranking_stability_level,warnings
AEEEM,5,6,0.902857142857143,0.8133333333333332,0.6514285714285715,0.5199999999999999,86.1,high,none
ApacheJIT,1,6,,,,,,not_available,insufficient_projects_for_ranking_stability
BugHunter,15,6,0.7126530612244899,0.6038095238095237,0.7540136054421771,0.6368253968253967,83.84,moderate,none
JIRA,7,6,0.8884353741496599,0.8095238095238093,0.5755102040816328,0.4666666666666665,84.25,moderate,none
Kamei,3,6,1.0,0.9999999999999999,0.8857142857142858,0.8222222222222221,96.35,high,none
NASA,9,6,0.8142857142857144,0.711111111111111,0.45079365079365086,0.3703703703703704,79.33,moderate,none
Promise,7,6,0.7578231292517008,0.6317460317460316,0.33605442176870753,0.27619047619047615,75.02,moderate,none
ReLink,3,6,0.8476190476190477,0.7333333333333333,0.44761904761904764,0.37777777777777777,80.08,moderate,none
UnifiedBugDataSet_File,1,6,,,,,,not_available,insufficient_projects_for_ranking_stability
