timestamp,runs,method,target_dataset,target_project,n_source_projects,n_target_eval,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF,P_at_20,R_at_20,IFA,TopK_AUC
2026-06-21 18:27:38,5,MASTER,AEEEM,equinox,4,233,0.6755199999999999,0.76364,0.71684,0.6788199999999999,0.6867,0.72624,0.37272,0.76364,0.39642,0.7446808510638296,0.2892561983471074,1.0,0.6087574929947149
2026-06-21 18:27:39,5,MASTER,AEEEM,jdt,4,968,0.49207999999999996,0.6207,0.54862,0.71742,0.78574,0.7705599999999999,0.4157,0.6207,0.17046,0.579381443298969,0.5536945812807882,0.4,0.7138124414770183
2026-06-21 18:27:40,5,MASTER,AEEEM,lucene,4,535,0.25248,0.5770799999999999,0.3512799999999999,0.6708999999999999,0.757,0.75632,0.25864,0.5770799999999999,0.21982,0.302803738317757,0.5311475409836065,0.0,0.7269312088248813
2026-06-21 18:27:41,5,MASTER,AEEEM,mylyn,4,1595,0.37746,0.28037999999999996,0.32168,0.51122,0.84878,0.638,0.24208,0.28037999999999996,0.06786,0.2620689655172414,0.40980392156862744,0.2,0.6203306902698383
2026-06-21 18:27:42,5,MASTER,AEEEM,pde,4,1432,0.19534,0.79328,0.31345999999999996,0.59382,0.49524,0.69402,0.17046,0.79328,0.55538,0.30801393728223,0.425,1.0,0.6658499409110442
2026-06-21 18:27:50,5,MASTER,JIRA,activemq-5.8.0,6,2825,0.13673999999999997,0.87862,0.23663999999999996,0.70374,0.5866199999999999,0.78494,0.23045999999999997,0.87862,0.43634000000000006,0.1915044247787611,0.5252427184466019,0.0,0.7641778503307843
2026-06-21 18:27:59,5,MASTER,JIRA,derby-10.5.1.1,6,2681,0.40472,0.55246,0.46719999999999995,0.69112,0.82,0.8033000000000001,0.36834,0.55246,0.13542,0.39962756052141535,0.5603133159268929,0.0,0.7599775229031682
2026-06-21 18:28:05,5,MASTER,JIRA,groovy-1_6_BETA_2,6,868,0.20815999999999998,0.5205,0.29738,0.6526,0.7930800000000001,0.77286,0.23066,0.5205,0.1819,0.21839080459770116,0.5205479452054794,4.0,0.7499321381225933
2026-06-21 18:28:12,5,MASTER,JIRA,hbase-0.95.2,6,1815,0.56474,0.2454,0.34204,0.47818000000000005,0.75044,0.73296,0.2453,0.24538000000000001,0.06803999999999999,0.5410468319559228,0.4091666666666667,0.0,0.6713508953168044
2026-06-21 18:28:20,5,MASTER,JIRA,hive-0.12.0,6,2537,0.20650000000000004,0.11999999999999997,0.1518,0.33898,0.88902,0.71124,0.10096000000000001,0.11999999999999997,0.041620000000000004,0.18188976377952756,0.44000000000000006,0.0,0.6937509619535633
2026-06-21 18:28:27,5,MASTER,JIRA,jruby-1.7.0.preview1,6,1576,0.2057,0.7356,0.3215,0.7832399999999999,0.8285399999999999,0.86316,0.32684,0.7356,0.16604000000000002,0.2037974683544304,0.7402298850574713,3.4,0.8431216815450142
2026-06-21 18:28:36,5,MASTER,JIRA,wicket-1.5.3,6,2521,0.08478,0.8743000000000001,0.15455999999999998,0.7180600000000001,0.6016,0.80876,0.18726,0.8743000000000001,0.41025999999999996,0.13306930693069308,0.6399999999999999,8.6,0.7959241419693621
2026-06-21 18:28:38,5,MASTER,Promise,ant-1.7,6,724,0.33816,0.94098,0.49748000000000003,0.6520600000000001,0.56408,0.7997799999999999,0.3438,0.94098,0.54802,0.5806896551724139,0.5072289156626506,0.8,0.7310540504559675
2026-06-21 18:28:41,5,MASTER,Promise,camel-1.6,6,878,0.24634,0.6309400000000001,0.35428,0.5607800000000001,0.52598,0.61848,0.10507999999999999,0.6309400000000001,0.5013,0.3136363636363636,0.30497237569060776,0.8,0.5940440982141733
2026-06-21 18:28:43,5,MASTER,Promise,jedit-4.3,6,474,0.03422000000000001,1.0,0.06614,0.75922,0.5827,0.8934199999999999,0.14043999999999998,1.0,0.42356,0.05263157894736842,0.7142857142857143,1.4,0.8875527426160337
2026-06-21 18:28:50,5,MASTER,Promise,prop-2,6,13091,0.28596,0.2069,0.2399,0.4333,0.8022199999999999,0.59712,0.13196000000000002,0.2069,0.09196,0.2397861779305078,0.31781376518218624,0.4,0.5824599378625547
2026-06-21 18:28:52,5,MASTER,Promise,velocity-1.6,6,211,0.5138800000000001,0.7263200000000001,0.6016199999999999,0.667,0.65402,0.7031400000000001,0.32652000000000003,0.7263200000000001,0.38668,0.5953488372093023,0.3368421052631579,0.0,0.629938887503118
2026-06-21 18:28:54,5,MASTER,Promise,xalan-2.7,6,740,1.0,0.35107999999999995,0.51964,0.59248,0.35814,0.8498800000000001,0.07624,0.35107999999999995,0.0,1.0,0.20218579234972678,0.0,0.50378175306454
2026-06-21 18:28:57,5,MASTER,Promise,xerces-1.4,6,486,0.95074,0.43084,0.59288,0.6307799999999999,0.54238,0.7707,0.31092,0.43084,0.07633999999999999,0.9857142857142855,0.25691489361702124,0.0,0.5612659793363104
