timestamp,runs,method,target_dataset,target_project,n_source_projects,n_target_eval,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF,P_at_20,R_at_20,IFA,TopK_AUC
2026-06-21 18:34:52,5,MASTER,AEEEM,equinox,4,233,0.6462000000000001,0.8049800000000001,0.7167399999999999,0.64864,0.66952,0.70972,0.34324000000000005,0.8049800000000001,0.47678000000000004,0.6893617021276597,0.26776859504132233,1.2,0.600808711382258
2026-06-21 18:34:55,5,MASTER,AEEEM,jdt,4,968,0.31816000000000005,0.75762,0.44817999999999997,0.65666,0.60868,0.73854,0.26608,0.75762,0.43084,0.47525773195876286,0.4541871921182266,0.0,0.6885305133737736
2026-06-21 18:34:58,5,MASTER,AEEEM,lucene,4,535,0.22662,0.62626,0.33280000000000004,0.6737400000000001,0.71364,0.7297,0.24026,0.62626,0.27512,0.2915887850467289,0.5114754098360655,0.0,0.7034349624636127
2026-06-21 18:35:00,5,MASTER,AEEEM,mylyn,4,1595,0.36422,0.28528000000000003,0.3199,0.51418,0.8449,0.6208,0.23607999999999998,0.28528000000000003,0.07304,0.2426332288401254,0.37941176470588234,0.0,0.6053288462720511
2026-06-21 18:35:03,5,MASTER,AEEEM,pde,4,1432,0.18736000000000003,0.8173,0.3048,0.56986,0.45852000000000004,0.6650799999999999,0.15718000000000001,0.8173,0.60246,0.264808362369338,0.3653846153846154,4.0,0.6410936828534594
2026-06-21 18:35:14,5,MASTER,JIRA,activemq-5.8.0,6,2825,0.08852,0.9563,0.16202,0.46353999999999995,0.27836,0.60926,0.11532,0.9563,0.7749599999999999,0.08389380530973452,0.23009708737864082,8.4,0.6012891141850675
2026-06-21 18:35:25,5,MASTER,JIRA,derby-10.5.1.1,6,2681,0.22546,0.8705,0.35810000000000003,0.6606799999999999,0.55422,0.7772399999999999,0.26176000000000005,0.8705,0.49849999999999994,0.3743016759776536,0.5248041775456919,4.0,0.7376238163734159
2026-06-21 18:35:34,5,MASTER,JIRA,groovy-1_6_BETA_2,6,868,0.13826,0.74792,0.23336,0.65392,0.58664,0.7243,0.17825999999999997,0.74792,0.42817999999999995,0.17471264367816092,0.4164383561643835,1.2,0.7054399974749068
2026-06-21 18:35:45,5,MASTER,JIRA,hbase-0.95.2,6,1815,0.37926000000000004,0.71584,0.49578,0.6436,0.61498,0.70752,0.25986,0.7158200000000001,0.42126,0.5046831955922866,0.38166666666666665,0.2,0.6526423324150598
2026-06-21 18:35:56,5,MASTER,JIRA,hive-0.12.0,6,2537,0.13276000000000002,0.7162,0.22400000000000003,0.6432,0.5892,0.6868,0.16294,0.7162,0.42225999999999997,0.15551181102362205,0.3761904761904762,1.4,0.6713322822230982
2026-06-21 18:36:05,5,MASTER,JIRA,jruby-1.7.0.preview1,6,1576,0.08516,0.9678000000000001,0.15655999999999998,0.61584,0.42386,0.80298,0.1701,0.9678000000000001,0.60792,0.15063291139240506,0.5471264367816092,1.6,0.786255761713052
2026-06-21 18:36:16,5,MASTER,JIRA,wicket-1.5.3,6,2521,0.045439999999999994,0.9943,0.0869,0.30266,0.12986,0.65038,0.06076,0.9943,0.90768,0.07366336633663367,0.3542857142857143,35.2,0.6441128803762679
2026-06-21 18:36:20,5,MASTER,Promise,ant-1.7,6,724,0.3064,0.9494,0.4633,0.58504,0.49558,0.7611,0.28731999999999996,0.9494,0.6394200000000001,0.49241379310344824,0.43012048192771085,2.4,0.7012331092325101
2026-06-21 18:36:25,5,MASTER,Promise,camel-1.6,6,878,0.2363,0.76132,0.36064,0.52414,0.44353999999999993,0.5996,0.10476,0.76132,0.6390399999999999,0.2852272727272727,0.2773480662983425,2.4,0.5790917328433531
2026-06-21 18:36:30,5,MASTER,Promise,jedit-4.3,6,474,0.028200000000000003,1.0,0.05488,0.6953400000000001,0.49118000000000006,0.85642,0.11680000000000001,1.0,0.5164799999999999,0.042105263157894736,0.5714285714285714,4.6,0.8511452682338758
2026-06-21 18:36:40,5,MASTER,Promise,prop-2,6,13091,0.19392,0.60748,0.29356,0.5765399999999999,0.55856,0.6019800000000001,0.11322000000000002,0.60748,0.45014000000000004,0.21130202367315767,0.2800607287449393,7.6,0.5865971754244734
2026-06-21 18:36:44,5,MASTER,Promise,velocity-1.6,6,211,0.49870000000000003,0.73684,0.5946199999999999,0.65474,0.63792,0.71032,0.30718000000000006,0.73684,0.41778000000000004,0.6232558139534884,0.3526315789473684,0.0,0.634541032676478
2026-06-21 18:36:49,5,MASTER,Promise,xalan-2.7,6,740,1.0,0.43552,0.6067400000000001,0.6599,0.44162,0.8358000000000001,0.09096,0.43552,0.0,1.0,0.20218579234972678,0.0,0.5036300029537735
2026-06-21 18:36:54,5,MASTER,Promise,xerces-1.4,6,486,0.94802,0.44627999999999995,0.60684,0.6394799999999999,0.55268,0.7518199999999999,0.31534,0.44627999999999995,0.08362,0.9836734693877551,0.25638297872340426,0.0,0.5569920541108484
