timestamp,runs,method,target_dataset,target_project,n_source_projects,n_target_eval,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF,P_at_20,R_at_20,IFA,TopK_AUC
2026-06-21 18:32:00,5,MASTER,AEEEM,equinox,4,233,0.6469799999999999,0.80826,0.71864,0.65016,0.6712400000000001,0.7056,0.34694,0.80826,0.4768,0.6723404255319149,0.2611570247933884,1.4,0.5988330436633207
2026-06-21 18:32:02,5,MASTER,AEEEM,jdt,4,968,0.31928,0.7605800000000001,0.44972,0.65804,0.6094799999999999,0.7396199999999999,0.26878,0.7605800000000001,0.43057999999999996,0.47525773195876286,0.4541871921182266,0.0,0.6893701909375889
2026-06-21 18:32:03,5,MASTER,AEEEM,lucene,4,535,0.2319,0.62626,0.33846,0.6774600000000001,0.72072,0.73102,0.2473,0.62626,0.2671,0.2934579439252336,0.5147540983606558,0.0,0.7046483836371993
2026-06-21 18:32:05,5,MASTER,AEEEM,mylyn,4,1595,0.35848,0.29018,0.32066,0.51772,0.84278,0.63202,0.23454000000000003,0.29018,0.0762,0.25078369905956116,0.3921568627450981,0.0,0.6151622718052738
2026-06-21 18:32:06,5,MASTER,AEEEM,pde,4,1432,0.18648,0.81922,0.30379999999999996,0.5669600000000001,0.45446,0.66552,0.15530000000000005,0.81922,0.6075199999999998,0.26898954703832756,0.37115384615384617,1.6,0.6414814541254834
2026-06-21 18:32:15,5,MASTER,JIRA,activemq-5.8.0,6,2825,0.08938000000000001,0.9563,0.16352,0.47264,0.28637999999999997,0.6058600000000001,0.11927999999999998,0.9563,0.76632,0.07646017699115044,0.20970873786407768,7.8,0.5981338602972764
2026-06-21 18:32:23,5,MASTER,JIRA,derby-10.5.1.1,6,2681,0.22410000000000002,0.8767799999999999,0.35694,0.6580600000000001,0.5486800000000001,0.7774599999999999,0.26132,0.8767799999999999,0.50598,0.376536312849162,0.5279373368146214,4.6,0.7378493664438759
2026-06-21 18:32:30,5,MASTER,JIRA,groovy-1_6_BETA_2,6,868,0.13748,0.74792,0.23226000000000005,0.6523399999999999,0.5841,0.72654,0.17659999999999998,0.74792,0.43094,0.1793103448275862,0.4273972602739725,1.6,0.7074837447130864
2026-06-21 18:32:38,5,MASTER,JIRA,hbase-0.95.2,6,1815,0.37977999999999995,0.7150000000000001,0.49602,0.6439600000000001,0.6157400000000001,0.7087,0.26036000000000004,0.7150000000000001,0.41992,0.5008264462809917,0.37875000000000003,0.6,0.6535068870523416
2026-06-21 18:32:47,5,MASTER,JIRA,hive-0.12.0,6,2537,0.13166,0.7257,0.22286,0.64198,0.58102,0.6868000000000001,0.16246,0.7257,0.43206,0.15472440944881888,0.3742857142857143,0.8,0.6713420425324249
2026-06-21 18:32:54,5,MASTER,JIRA,jruby-1.7.0.preview1,6,1576,0.08530000000000001,0.9655000000000001,0.15672,0.6171599999999999,0.42614,0.8058799999999999,0.16996,0.9655000000000001,0.6053599999999999,0.1569620253164557,0.5701149425287356,0.4,0.7889929400781843
2026-06-21 18:33:03,5,MASTER,JIRA,wicket-1.5.3,6,2521,0.045840000000000006,0.9924000000000002,0.08762,0.318,0.13913999999999999,0.6521,0.06334,0.9924000000000002,0.89794,0.07366336633663366,0.3542857142857143,42.2,0.6457630192100641
2026-06-21 18:33:06,5,MASTER,Promise,ant-1.7,6,724,0.30626,0.9494,0.46312,0.58476,0.49529999999999996,0.75956,0.28706,0.9494,0.63978,0.48413793103448277,0.4228915662650602,2.0,0.7000332823004726
2026-06-21 18:33:08,5,MASTER,Promise,camel-1.6,6,878,0.23868,0.7757,0.36506,0.5266,0.44374,0.60112,0.11462000000000001,0.7757,0.64246,0.2875,0.2795580110497237,3.0,0.5802508211782177
2026-06-21 18:33:11,5,MASTER,Promise,jedit-4.3,6,474,0.028360000000000003,1.0,0.05512,0.69716,0.49368,0.8600199999999999,0.11742,1.0,0.5139400000000001,0.042105263157894736,0.5714285714285714,3.8,0.8547016274864376
2026-06-21 18:33:18,5,MASTER,Promise,prop-2,6,13091,0.19141999999999998,0.6157,0.29178000000000004,0.5738200000000001,0.5482199999999999,0.6020200000000001,0.10908,0.6157,0.46378,0.21580756013745703,0.28603238866396763,8.6,0.5866184064398788
2026-06-21 18:33:21,5,MASTER,Promise,velocity-1.6,6,211,0.48082,0.73948,0.5825199999999999,0.63712,0.6180200000000001,0.7095,0.27942,0.73948,0.45036,0.6093023255813954,0.3447368421052631,0.0,0.6340047393364928
2026-06-21 18:33:24,5,MASTER,Promise,xalan-2.7,6,740,1.0,0.43798000000000004,0.60912,0.66178,0.44404000000000005,0.82828,0.09142,0.43798000000000004,0.0,1.0,0.20218579234972678,0.0,0.5035480357406585
2026-06-21 18:33:26,5,MASTER,Promise,xerces-1.4,6,486,0.94838,0.4399,0.6009200000000001,0.63548,0.54816,0.7499,0.31238,0.4399,0.0818,0.9857142857142858,0.25691489361702124,0.0,0.5565575475002189
